parameter,correlation,abs_correlation,mean_value,std_value,min_value,max_value
rolling_window,-0.6824186124489516,0.6824186124489516,30.513392857142858,12.532989520673588,20.0,80.0
zscore_exit,0.5530454491075261,0.5530454491075261,0.6417481112059017,0.13664185260257136,0.021093579597801605,0.7998581198038108
zscore_threshold,-0.5054873540581015,0.5054873540581015,1.1198228117437523,0.31879261981706564,0.8001383108030502,2.474535675429713
coint_pvalue_threshold,0.23116872657984766,0.23116872657984766,0.10453256752409157,0.03234820044638282,0.011970321772286793,0.14997142215737438
slippage_pct,0.21989752205061866,0.21989752205061866,0.0005712724656301083,0.00016307707224414822,0.0001012996764968175,0.0007997296334691215
max_hurst_exponent,-0.1812659770007139,0.1812659770007139,0.4322895816214634,0.07968353644823566,0.3005132729873967,0.5997039736147395
max_active_positions,-0.1774321944267329,0.1774321944267329,12.604166666666666,6.1999361004992,5.0,25.0
lookback_days,0.12078552051686044,0.12078552051686044,66.5625,20.776985397445493,30.0,90.0
stop_loss_multiplier,0.08727470643981715,0.08727470643981715,5.290639412635257,1.636319361115981,2.015265651142243,7.979331316853716
max_half_life_days,-0.08065003080185032,0.08065003080185032,23.489583333333332,9.141700126191958,10.0,45.0
min_history_ratio,0.07453060053671497,0.07453060053671497,0.7184871037004705,0.14007103458965584,0.40026668411430294,0.8999700531560295
time_stop_multiplier,0.0708735339304053,0.0708735339304053,6.038238221263963,1.8940406565942902,2.221813182131971,9.96498926605944
max_position_size_pct,-0.05742518477496085,0.05742518477496085,0.1271485070367364,0.04629234373702002,0.05016500323992377,0.2495122165144959
commission_pct,0.05681428365914771,0.05681428365914771,0.0005214930488943365,0.00019197284948088478,0.00010182976518806129,0.0007991513615755904
risk_per_position_pct,0.05572727451042391,0.05572727451042391,0.01996994543430253,0.007169692218748484,0.005057928586424284,0.029999298495870484
min_half_life_days,0.04015111131486409,0.04015111131486409,2.144455169041542,0.6069870591161316,0.5337711371332916,2.9959334140322462
cooldown_hours,-0.024774537434768047,0.024774537434768047,6.348214285714286,3.3469335248234273,1.0,12.0
min_mean_crossings,0.0026142252001686637,0.0026142252001686637,9.05952380952381,3.7487442602147945,3.0,15.0
pvalue_top_n,0.0016938575563590892,0.0016938575563590892,206.91964285714286,124.0782627686072,50.0,500.0
ssd_top_n,,,1000.0,0.0,1000.0,1000.0
